1,BMA150 3-axis Accelerometer,2.480159E-4,2.8,3.0
2,AK8973 3-axis Magnetic field sensor,1.0,2000.0,6.7
3,AK8973 Orientation sensor,1.0,360.0,9.7
7,AK8973 Temperature sensor,1.0,80.0,0.0
1272530375269,7,22.0,0.0,0.0
1272530375271,3,319.0,-6.0,-2.0
1272530375274,2,11.375,-3.625,-46.6875
1272530375277,1,-0.27240697,0.92618364,8.921328
1272530375279,3,298.0,-6.0,-2.0
1272530375281,2,12.375,-3.625,-46.6875
1272530375309,1,-0.38136974,0.9942854,9.493382
1272530375311,3,283.0,-6.0,-4.0
1272530375313,2,13.375,-5.6875,-45.6875
1272530375315,1,-0.6537767,1.0760075,9.534244
1272530375317,3,274.0,-3.0,-2.0
1272530375319,2,12.875,-3.875,-46.4375
1272530375320,1,-0.38136974,0.5720546,9.275456
1272530375322,3,275.0,-7.0,-1.0
1272530375325,2,13.375,-3.625,-46.6875
1272530375327,1,-0.10896278,1.0351465,8.962189
1272530375329,3,271.0,-2.0,0.0
1272530375330,2,13.125,-2.875,-46.6875
1272530375333,1,-0.0,0.38136974,8.921328
1272530375340,3,271.0,-2.0,1.0
1272530375342,2,12.875,-2.125,-47.1875
1272530375347,1,0.08172209,0.313268,9.534244
1272530375349,3,271.0,-3.0,-1.0
1272530375351,2,12.625,-1.875,-47.1875
1272530375352,1,-0.14982383,0.5720546,9.615966
1272530375354,7,23.0,0.0,0.0
1272530375356,3,276.0,-5.0,-2.0
1272530375358,2,12.375,-1.625,-47.1875
1272530375359,1,-0.38136974,0.7218784,9.043911
1272530375361,7,22.0,0.0,0.0
1272530375363,3,288.0,-7.0,-7.0
1272530375365,2,12.875,-1.625,-46.9375
1272530375367,1,-0.9942854,1.1168685,8.580819
1272530375368,7,23.0,0.0,0.0
1272530375370,3,288.0,-6.0,-1.0
1272530375372,2,12.875,-0.8125,-46.6875
1272530375374,1,-0.10896278,0.84446156,8.308413
1272530375398,3,267.0,6.0,-2.0
1272530375400,2,12.875,-0.0625,-46.9375
1272530375402,1,-0.46309182,-1.1441092,11.032481
1272530375484,3,267.0,2.0,-1.0
1272530375489,2,12.625,0.6875,-46.9375
1272530375491,1,-0.10896278,-0.38136974,10.106298
1272530375523,3,268.0,1.0,-1.0
1272530375527,2,12.375,0.9375,-47.4375
1272530375564,1,-0.10896278,-0.10896278,9.00305
1272530375567,3,267.0,2.0,-3.0
1272530375569,2,12.375,0.4375,-47.6875
1272530375606,1,-0.46309182,-0.3405087,9.384419
1272530375608,3,268.0,-1.0,-2.0
1272530375610,2,11.875,-0.0625,-48.1875
1272530375615,1,-0.38136974,0.08172209,9.152874
1272530375617,3,272.0,-2.0,0.0
1272530375619,2,11.875,-0.5625,-49.125
1272530375627,1,0.040861044,0.3405087,9.656827
1272530375675,3,271.0,-1.0,-1.0
1272530375678,2,11.125,-1.0625,-49.875
1272530375681,1,-0.10896278,0.10896278,9.847511
1272530375755,3,276.0,-4.0,4.0
